TAKIM NO,PAKET NUMARASI,GONDERME SAATI,BASINC,YUKSEKLIK,INIS HIZI,SICAKLIK,PIL GERILIMI,GPS LATITUDE,GPS LONGITUDE,GPS ALTITUDE,UYDU STATUSU,PITCH,ROLL,YAW,DONUS SAYISI,VIDEO AKTARIM BILGISI, SON KOMUT
79108,1574,14/9/2021 06/48/21,1007.40,0.14,-0.40,29.96,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-8.87,4.68,308.06,24.17,HAYIR,
79108,1859,14/9/2021 09/15/50,1014.91,-14.77,0.00,30.08,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.68,-13.81,304.81,49.22,HAYIR,
79108,1860,14/9/2021 09/15/51,1014.91,-14.72,0.00,30.09,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,174.93,-14.06,304.68,49.22,HAYIR,
79108,1861,14/9/2021 09/15/52,1014.92,-14.84,0.10,30.10,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,174.93,-13.68,304.87,49.22,HAYIR,
79108,1862,14/9/2021 09/15/53,1014.92,-14.84,0.00,30.11,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.25,-14.00,304.87,49.22,HAYIR,
79108,1863,14/9/2021 09/15/54,1014.95,-15.08,0.10,30.12,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,175.75,-14.12,306.93,49.22,HAYIR,
79108,1864,14/9/2021 09/15/55,1014.95,-15.12,-0.10,30.13,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,179.43,-13.75,306.37,49.23,HAYIR,
79108,1865,14/9/2021 09/15/56,1014.96,-15.14,0.00,30.14,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,177.37,-14.06,307.00,49.23,HAYIR,
79108,1866,14/9/2021 09/15/57,1014.93,-14.93,0.00,30.15,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.62,-15.37,307.56,49.23,HAYIR,
79108,1867,14/9/2021 09/15/58,1014.92,-14.83,0.20,30.16,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,178.25,-13.31,308.31,49.23,HAYIR,
79108,1868,14/9/2021 09/15/59,1014.91,-14.78,0.10,30.17,11.77,0.000000,0.000000,0.00,Ucus Bekleniyor,174.68,-16.62,309.43,49.23,HAYIR,
